gesture,timestamp,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19
open,2025-02-16 21:28:51,480.0,188.0,505.0,132.0,382.0,123.0,265.0,112.0,127.0,122.0,109.0,130.0,119.0,119.0,142.0,132.0,159.0,112.0,212.0,131.0
open,2025-02-16 21:28:52,291.0,165.0,450.0,141.0,524.0,167.0,600.0,204.0,505.0,179.0,390.0,243.0,322.0,384.0,231.0,487.0,161.0,474.0,129.0,376.0
open,2025-02-16 21:28:52,109.0,251.0,99.0,143.0,88.0,113.0,124.0,107.0,93.0,153.0,120.0,165.0,104.0,198.0,139.0,269.0,156.0,436.0,166.0,580.0
open,2025-02-16 21:28:52,186.0,526.0,209.0,488.0,172.0,324.0,211.0,327.0,394.0,228.0,434.0,163.0,520.0,203.0,367.0,111.0,253.0,95.0,117.0,108.0
open,2025-02-16 21:28:52,94.0,134.0,128.0,116.0,157.0,101.0,168.0,111.0,211.0,133.0,251.0,173.0,440.0,169.0,491.0,135.0,538.0,161.0,489.0,151.0
open,2025-02-16 21:28:52,360.0,236.0,293.0,329.0,191.0,456.0,157.0,436.0,108.0,316.0,122.0,191.0,101.0,76.0,121.0,96.0,118.0,137.0,139.0,167.0
open,2025-02-16 21:28:52,143.0,187.0,110.0,198.0,103.0,254.0,146.0,426.0,151.0,482.0,165.0,510.0,200.0,494.0,199.0,449.0,211.0,328.0,348.0,242.0
open,2025-02-16 21:28:52,460.0,156.0,511.0,121.0,319.0,116.0,217.0,114.0,96.0,150.0,114.0,107.0,142.0,77.0,176.0,143.0,172.0,88.0,189.0,110.0
open,2025-02-16 21:28:52,263.0,104.0,445.0,123.0,472.0,196.0,532.0,257.0,702.0,127.0,459.0,222.0,302.0,381.0,262.0,430.0,178.0,577.0,177.0,410.0
open,2025-02-16 21:28:52,212.0,329.0,139.0,314.0,119.0,101.0,125.0,119.0,138.0,169.0,139.0,208.0,135.0,191.0,129.0,256.0,150.0,472.0,179.0,487.0
open,2025-02-16 21:28:52,148.0,539.0,202.0,457.0,143.0,349.0,218.0,294.0,341.0,212.0,444.0,183.0,489.0,131.0,395.0,107.0,260.0,108.0,136.0,113.0
open,2025-02-16 21:28:52,122.0,129.0,140.0,150.0,159.0,146.0,185.0,111.0,213.0,70.0,290.0,162.0,471.0,165.0,553.0,198.0,562.0,176.0,547.0,143.0
open,2025-02-16 21:28:52,499.0,230.0,347.0,368.0,244.0,474.0,163.0,472.0,127.0,384.0,97.0,219.0,101.0,150.0,132.0,102.0,102.0,111.0,94.0,147.0
open,2025-02-16 21:28:52,151.0,168.0,88.0,205.0,136.0,234.0,139.0,462.0,188.0,516.0,176.0,561.0,185.0,604.0,165.0,431.0,220.0,361.0,360.0,248.0
open,2025-02-16 21:28:52,412.0,177.0,520.0,141.0,406.0,99.0,297.0,105.0,177.0,129.0,108.0,55.0,103.0,120.0,144.0,119.0,162.0,121.0,192.0,109.0
open,2025-02-16 21:28:53,230.0,142.0,486.0,188.0,497.0,233.0,558.0,183.0,541.0,181.0,439.0,202.0,341.0,309.0,249.0,471.0,173.0,520.0,134.0,410.0
open,2025-02-16 21:28:53,87.0,300.0,110.0,183.0,111.0,107.0,134.0,109.0,114.0,143.0,130.0,192.0,126.0,186.0,129.0,238.0,149.0,434.0,147.0,500.0
open,2025-02-16 21:28:53,188.0,565.0,164.0,525.0,162.0,420.0,219.0,334.0,348.0,274.0,453.0,165.0,493.0,128.0,420.0,95.0,266.0,117.0,154.0,125.0
open,2025-02-16 21:28:53,89.0,131.0,93.0,137.0,137.0,128.0,161.0,128.0,182.0,120.0,223.0,59.0,406.0,182.0,480.0,173.0,543.0,177.0,525.0,170.0
open,2025-02-16 21:28:53,450.0,176.0,381.0,277.0,280.0,432.0,173.0,491.0,129.0,394.0,98.0,285.0,109.0,153.0,118.0,115.0,141.0,107.0,112.0,142.0
open,2025-02-16 21:28:53,91.0,164.0,132.0,187.0,103.0,210.0,139.0,383.0,168.0,496.0,190.0,572.0,152.0,536.0,166.0,469.0,191.0,332.0,274.0,272.0
open,2025-02-16 21:28:53,397.0,184.0,459.0,146.0,436.0,116.0,269.0,118.0,180.0,69.0,110.0,114.0,103.0,90.0,152.0,127.0,162.0,127.0,184.0,136.0
open,2025-02-16 21:28:53,219.0,122.0,390.0,163.0,495.0,177.0,523.0,189.0,517.0,175.0,451.0,148.0,347.0,264.0,287.0,417.0,179.0,483.0,140.0,448.0
open,2025-02-16 21:28:53,105.0,289.0,90.0,173.0,111.0,124.0,143.0,113.0,137.0,144.0,126.0,168.0,128.0,196.0,111.0,213.0,124.0,361.0,175.0,458.0
open,2025-02-16 21:28:53,134.0,519.0,170.0,538.0,162.0,433.0,196.0,404.0,271.0,262.0,418.0,194.0,458.0,132.0,435.0,106.0,277.0,107.0,149.0,112.0
open,2025-02-16 21:28:53,117.0,126.0,101.0,117.0,134.0,75.0,191.0,129.0,192.0,89.0,209.0,161.0,387.0,183.0,540.0,183.0,611.0,232.0,608.0,211.0
open,2025-02-16 21:28:53,565.0,201.0,395.0,272.0,310.0,398.0,186.0,461.0,139.0,466.0,102.0,330.0,96.0,198.0,97.0,110.0,106.0,100.0,87.0,118.0
open,2025-02-16 21:28:53,122.0,137.0,78.0,165.0,95.0,192.0,93.0,255.0,170.0,462.0,175.0,522.0,203.0,565.0,189.0,548.0,176.0,443.0,277.0,342.0
open,2025-02-16 21:28:53,389.0,223.0,490.0,161.0,486.0,110.0,401.0,98.0,246.0,97.0,176.0,98.0,82.0,126.0,100.0,126.0,120.0,125.0,144.0,87.0
open,2025-02-16 21:28:53,175.0,114.0,217.0,118.0,443.0,193.0,506.0,195.0,600.0,198.0,628.0,187.0,489.0,224.0,433.0,331.0,285.0,485.0,174.0,546.0
open,2025-02-16 21:28:54,130.0,426.0,92.0,323.0,95.0,188.0,108.0,129.0,105.0,82.0,120.0,113.0,100.0,139.0,128.0,158.0,103.0,216.0,136.0,416.0
open,2025-02-16 21:28:54,176.0,492.0,183.0,629.0,187.0,576.0,190.0,527.0,205.0,418.0,284.0,333.0,452.0,193.0,565.0,134.0,514.0,95.0,348.0,93.0
open,2025-02-16 21:28:54,241.0,105.0,135.0,112.0,105.0,126.0,115.0,117.0,149.0,106.0,162.0,119.0,237.0,149.0,386.0,184.0,514.0,180.0,571.0,210.0
open,2025-02-16 21:28:54,606.0,202.0,528.0,166.0,417.0,284.0,317.0,470.0,236.0,552.0,191.0,499.0,136.0,351.0,126.0,241.0,120.0,173.0,125.0,114.0
open,2025-02-16 21:28:54,127.0,136.0,120.0,168.0,128.0,191.0,148.0,249.0,83.0,401.0,178.0,505.0,167.0,597.0,188.0,612.0,203.0,526.0,203.0,468.0
open,2025-02-16 21:28:54,296.0,343.0,469.0,239.0,561.0,181.0,469.0,142.0,370.0,120.0,206.0,114.0,144.0,137.0,105.0,140.0,157.0,95.0,165.0,134.0
open,2025-02-16 21:28:54,185.0,116.0,222.0,131.0,387.0,169.0,535.0,201.0,638.0,208.0,597.0,205.0,520.0,207.0,417.0,244.0,337.0,479.0,226.0,539.0
open,2025-02-16 21:28:54,175.0,519.0,125.0,353.0,105.0,236.0,104.0,151.0,138.0,121.0,135.0,129.0,129.0,177.0,140.0,183.0,124.0,248.0,142.0,427.0
open,2025-02-16 21:28:54,193.0,534.0,187.0,606.0,165.0,589.0,200.0,495.0,222.0,408.0,330.0,357.0,477.0,226.0,558.0,175.0,495.0,125.0,353.0,125.0
open,2025-02-16 21:28:54,221.0,126.0,139.0,129.0,113.0,125.0,142.0,137.0,171.0,87.0,193.0,134.0,229.0,108.0,422.0,193.0,545.0,200.0,589.0,204.0
open,2025-02-16 21:28:54,632.0,200.0,506.0,236.0,415.0,335.0,310.0,445.0,228.0,573.0,171.0,491.0,129.0,349.0,118.0,214.0,112.0,138.0,61.0,125.0
open,2025-02-16 21:28:54,135.0,132.0,113.0,162.0,141.0,186.0,143.0,242.0,135.0,476.0,197.0,520.0,192.0,601.0,194.0,589.0,118.0,508.0,217.0,405.0
open,2025-02-16 21:28:54,330.0,306.0,498.0,231.0,580.0,174.0,489.0,119.0,334.0,106.0,210.0,99.0,155.0,141.0,123.0,131.0,133.0,121.0,188.0,125.0
open,2025-02-16 21:28:55,195.0,144.0,241.0,165.0,445.0,118.0,519.0,190.0,621.0,162.0,586.0,208.0,489.0,222.0,401.0,346.0,331.0,506.0,234.0,553.0
open,2025-02-16 21:28:55,172.0,495.0,137.0,286.0,107.0,226.0,119.0,131.0,127.0,118.0,131.0,141.0,122.0,169.0,114.0,209.0,142.0,252.0,140.0,460.0
open,2025-02-16 21:28:55,180.0,605.0,201.0,590.0,216.0,592.0,197.0,486.0,245.0,399.0,349.0,302.0,469.0,218.0,563.0,162.0,477.0,130.0,339.0,86.0
open,2025-02-16 21:28:55,215.0,125.0,149.0,104.0,116.0,125.0,146.0,131.0,175.0,128.0,216.0,122.0,266.0,160.0,460.0,188.0,528.0,152.0,593.0,199.0
open,2025-02-16 21:28:55,589.0,167.0,506.0,236.0,388.0,378.0,291.0,513.0,240.0,578.0,165.0,469.0,117.0,328.0,105.0,134.0,114.0,143.0,127.0,111.0
open,2025-02-16 21:28:55,120.0,148.0,125.0,164.0,140.0,205.0,111.0,270.0,170.0,473.0,176.0,546.0,203.0,653.0,191.0,592.0,200.0,502.0,247.0,379.0
open,2025-02-16 21:28:55,401.0,276.0,503.0,210.0,535.0,150.0,469.0,130.0,322.0,106.0,207.0,71.0,124.0,120.0,106.0,109.0,154.0,134.0,178.0,137.0
open,2025-02-16 21:28:55,196.0,142.0,312.0,150.0,489.0,188.0,572.0,212.0,599.0,226.0,579.0,195.0,475.0,217.0,394.0,364.0,285.0,508.0,206.0,575.0
open,2025-02-16 21:28:55,165.0,449.0,118.0,319.0,104.0,188.0,120.0,99.0,142.0,123.0,140.0,146.0,132.0,173.0,127.0,198.0,124.0,269.0,126.0,461.0
open,2025-02-16 21:28:55,199.0,542.0,173.0,596.0,198.0,583.0,181.0,480.0,258.0,441.0,409.0,269.0,514.0,210.0,556.0,164.0,377.0,117.0,316.0,123.0
open,2025-02-16 21:28:55,179.0,109.0,129.0,130.0,112.0,122.0,146.0,79.0,175.0,136.0,201.0,124.0,271.0,165.0,482.0,196.0,557.0,192.0,649.0,200.0
open,2025-02-16 21:28:55,587.0,199.0,499.0,245.0,385.0,332.0,270.0,510.0,208.0,554.0,161.0,438.0,128.0,304.0,105.0,192.0,101.0,118.0,123.0,115.0
open,2025-02-16 21:28:55,131.0,150.0,131.0,179.0,134.0,206.0,137.0,290.0,163.0,477.0,186.0,569.0,190.0,604.0,182.0,577.0,190.0,458.0,240.0,384.0
open,2025-02-16 21:28:56,417.0,310.0,548.0,200.0,573.0,155.0,426.0,118.0,260.0,108.0,165.0,116.0,119.0,134.0,130.0,114.0,153.0,139.0,185.0,62.0
open,2025-02-16 21:28:56,206.0,117.0,279.0,152.0,474.0,183.0,579.0,194.0,613.0,182.0,633.0,194.0,455.0,248.0,382.0,441.0,254.0,479.0,205.0,565.0
open,2025-02-16 21:28:56,155.0,391.0,119.0,300.0,127.0,176.0,136.0,125.0,84.0,124.0,122.0,152.0,98.0,183.0,139.0,200.0,137.0,261.0,149.0,544.0
open,2025-02-16 21:28:56,202.0,563.0,201.0,615.0,198.0,580.0,192.0,476.0,266.0,392.0,368.0,271.0,521.0,211.0,562.0,172.0,447.0,109.0,313.0,109.0
open,2025-02-16 21:28:56,235.0,120.0,126.0,115.0,126.0,140.0,140.0,148.0,179.0,130.0,187.0,140.0,305.0,181.0,336.0,121.0,527.0,202.0,669.0,205.0
open,2025-02-16 21:28:57,735.0,242.0,701.0,302.0,690.0,480.0,575.0,697.0,415.0,809.0,326.0,731.0,268.0,568.0,224.0,498.0,191.0,391.0,189.0,310.0
open,2025-02-16 21:28:57,147.0,226.0,129.0,128.0,126.0,143.0,120.0,231.0,148.0,403.0,209.0,628.0,207.0,688.0,238.0,743.0,236.0,698.0,297.0,647.0
open,2025-02-16 21:28:57,518.0,511.0,679.0,409.0,785.0,312.0,687.0,272.0,615.0,274.0,509.0,196.0,391.0,148.0,294.0,142.0,126.0,116.0,139.0,130.0
open,2025-02-16 21:28:57,136.0,109.0,251.0,139.0,418.0,160.0,611.0,168.0,703.0,233.0,741.0,254.0,704.0,365.0,703.0,530.0,520.0,664.0,425.0,788.0
open,2025-02-16 21:28:58,302.0,703.0,257.0,605.0,210.0,442.0,171.0,357.0,161.0,280.0,130.0,181.0,112.0,133.0,119.0,145.0,111.0,284.0,131.0,441.0
open,2025-02-16 21:28:58,184.0,612.0,216.0,752.0,251.0,730.0,288.0,709.0,360.0,646.0,485.0,512.0,726.0,376.0,761.0,290.0,658.0,248.0,562.0,202.0
open,2025-02-16 21:28:58,464.0,199.0,391.0,166.0,244.0,146.0,186.0,129.0,77.0,119.0,145.0,117.0,303.0,160.0,450.0,176.0,617.0,206.0,733.0,158.0
open,2025-02-16 21:28:58,750.0,247.0,699.0,350.0,625.0,569.0,537.0,730.0,379.0,770.0,306.0,674.0,248.0,595.0,218.0,491.0,170.0,328.0,157.0,270.0
open,2025-02-16 21:28:58,129.0,153.0,134.0,111.0,110.0,141.0,120.0,284.0,136.0,458.0,186.0,640.0,206.0,737.0,246.0,799.0,275.0,684.0,379.0,630.0
open,2025-02-16 21:28:59,586.0,514.0,719.0,390.0,792.0,308.0,652.0,251.0,574.0,207.0,428.0,174.0,381.0,138.0,279.0,148.0,212.0,136.0,131.0,126.0
open,2025-02-16 21:28:59,160.0,122.0,319.0,160.0,495.0,215.0,668.0,196.0,738.0,234.0,725.0,258.0,727.0,384.0,611.0,592.0,469.0,805.0,466.0,752.0
open,2025-02-16 21:28:59,241.0,662.0,257.0,569.0,201.0,436.0,158.0,376.0,165.0,236.0,135.0,205.0,127.0,113.0,143.0,141.0,90.0,308.0,133.0,474.0
open,2025-02-16 21:28:59,163.0,631.0,168.0,764.0,221.0,762.0,302.0,739.0,418.0,604.0,615.0,490.0,696.0,373.0,749.0,290.0,697.0,220.0,563.0,205.0
open,2025-02-16 21:28:59,487.0,166.0,352.0,140.0,265.0,126.0,150.0,118.0,109.0,126.0,166.0,146.0,354.0,166.0,508.0,192.0,699.0,221.0,745.0,238.0
open,2025-02-16 21:29:00,768.0,318.0,678.0,411.0,598.0,624.0,494.0,762.0,377.0,802.0,297.0,652.0,231.0,532.0,182.0,457.0,159.0,342.0,148.0,278.0
open,2025-02-16 21:29:00,128.0,118.0,151.0,108.0,128.0,185.0,148.0,338.0,100.0,534.0,209.0,673.0,212.0,753.0,263.0,736.0,303.0,694.0,468.0,634.0
open,2025-02-16 21:29:00,652.0,439.0,758.0,341.0,746.0,284.0,596.0,224.0,540.0,195.0,404.0,172.0,325.0,154.0,215.0,139.0,151.0,112.0,133.0,119.0
open,2025-02-16 21:29:00,209.0,114.0,381.0,212.0,609.0,208.0,681.0,247.0,785.0,236.0,730.0,320.0,666.0,506.0,531.0,623.0,409.0,793.0,334.0,720.0
open,2025-02-16 21:29:00,271.0,600.0,248.0,492.0,187.0,402.0,174.0,306.0,139.0,206.0,128.0,123.0,112.0,141.0,134.0,229.0,134.0,396.0,173.0,571.0
open,2025-02-16 21:29:01,153.0,748.0,250.0,752.0,242.0,708.0,375.0,631.0,535.0,513.0,671.0,487.0,795.0,337.0,658.0,266.0,597.0,213.0,425.0,177.0
open,2025-02-16 21:29:01,397.0,151.0,251.0,142.0,179.0,112.0,113.0,125.0,142.0,118.0,255.0,134.0,437.0,186.0,583.0,230.0,773.0,264.0,763.0,267.0
open,2025-02-16 21:29:01,720.0,349.0,645.0,541.0,536.0,702.0,417.0,766.0,310.0,696.0,254.0,594.0,222.0,469.0,184.0,378.0,158.0,288.0,142.0,191.0
open,2025-02-16 21:29:01,136.0,94.0,122.0,139.0,121.0,291.0,159.0,436.0,166.0,618.0,211.0,705.0,199.0,752.0,257.0,719.0,316.0,641.0,532.0,506.0
open,2025-02-16 21:29:01,700.0,380.0,785.0,329.0,700.0,256.0,589.0,212.0,475.0,182.0,300.0,162.0,275.0,135.0,179.0,127.0,121.0,119.0,153.0,143.0
open,2025-02-16 21:29:02,290.0,133.0,438.0,193.0,605.0,207.0,720.0,222.0,820.0,247.0,704.0,376.0,679.0,576.0,532.0,700.0,380.0,790.0,310.0,664.0
open,2025-02-16 21:29:02,254.0,584.0,209.0,465.0,165.0,382.0,152.0,266.0,130.0,156.0,136.0,124.0,141.0,161.0,148.0,290.0,172.0,514.0,202.0,643.0
open,2025-02-16 21:29:02,204.0,728.0,232.0,773.0,231.0,716.0,358.0,655.0,548.0,517.0,730.0,424.0,812.0,290.0,673.0,245.0,577.0,208.0,477.0,163.0
open,2025-02-16 21:29:02,356.0,144.0,201.0,145.0,179.0,130.0,122.0,134.0,154.0,107.0,306.0,159.0,472.0,160.0,655.0,224.0,740.0,237.0,742.0,283.0
open,2025-02-16 21:29:02,755.0,398.0,622.0,578.0,473.0,750.0,372.0,751.0,288.0,661.0,237.0,523.0,197.0,432.0,160.0,359.0,144.0,268.0,137.0,171.0
open,2025-02-16 21:29:03,120.0,136.0,114.0,177.0,140.0,392.0,172.0,478.0,191.0,675.0,206.0,752.0,240.0,764.0,297.0,698.0,384.0,607.0,613.0,490.0
open,2025-02-16 21:29:03,768.0,365.0,777.0,333.0,653.0,234.0,562.0,206.0,459.0,174.0,369.0,157.0,225.0,125.0,115.0,136.0,119.0,133.0,172.0,116.0
open,2025-02-16 21:29:03,349.0,92.0,502.0,200.0,656.0,183.0,743.0,243.0,744.0,296.0,723.0,421.0,687.0,601.0,483.0,757.0,401.0,774.0,301.0,659.0
open,2025-02-16 21:29:03,238.0,572.0,208.0,420.0,165.0,365.0,135.0,256.0,138.0,156.0,114.0,137.0,117.0,170.0,113.0,361.0,158.0,529.0,196.0,656.0
open,2025-02-16 21:29:04,254.0,786.0,263.0,763.0,298.0,715.0,449.0,610.0,539.0,462.0,773.0,357.0,767.0,290.0,669.0,240.0,543.0,205.0,464.0,169.0
open,2025-02-16 21:29:04,333.0,148.0,218.0,124.0,130.0,131.0,141.0,117.0,204.0,127.0,381.0,195.0,521.0,171.0,687.0,235.0,788.0,203.0,764.0,288.0
open,2025-02-16 21:29:04,696.0,433.0,581.0,649.0,488.0,779.0,349.0,782.0,296.0,658.0,236.0,448.0,216.0,455.0,167.0,295.0,153.0,244.0,135.0,125.0
open,2025-02-16 21:29:04,136.0,125.0,126.0,193.0,136.0,407.0,157.0,577.0,202.0,740.0,207.0,778.0,240.0,731.0,295.0,669.0,420.0,573.0,616.0,452.0
open,2025-02-16 21:29:04,738.0,354.0,723.0,270.0,615.0,207.0,515.0,199.0,367.0,142.0,255.0,138.0,201.0,136.0,145.0,133.0,123.0,135.0,236.0,143.0
open,2025-02-16 21:29:05,396.0,159.0,611.0,229.0,719.0,185.0,757.0,231.0,740.0,291.0,695.0,496.0,576.0,672.0,433.0,782.0,351.0,720.0,274.0,647.0
open,2025-02-16 21:29:05,244.0,522.0,190.0,349.0,173.0,326.0,160.0,224.0,141.0,134.0,115.0,139.0,122.0,214.0,115.0,384.0,231.0,567.0,210.0,726.0
open,2025-02-16 21:29:05,246.0,872.0,273.0,775.0,343.0,741.0,505.0,554.0,668.0,467.0,801.0,329.0,713.0,296.0,634.0,207.0,498.0,184.0,380.0,140.0
open,2025-02-16 21:29:05,320.0,144.0,200.0,148.0,131.0,128.0,135.0,125.0,232.0,171.0,414.0,172.0,605.0,239.0,689.0,246.0,733.0,219.0,717.0,350.0
open,2025-02-16 21:29:05,644.0,501.0,542.0,651.0,457.0,748.0,336.0,715.0,280.0,612.0,225.0,490.0,188.0,409.0,161.0,234.0,135.0,166.0,134.0,147.0
open,2025-02-16 21:29:06,145.0,160.0,102.0,249.0,165.0,421.0,178.0,584.0,220.0,692.0,203.0,721.0,269.0,742.0,350.0,677.0,500.0,532.0,683.0,388.0
open,2025-02-16 21:29:06,708.0,303.0,704.0,262.0,529.0,207.0,479.0,172.0,374.0,159.0,283.0,141.0,194.0,135.0,130.0,131.0,152.0,127.0,318.0,155.0
open,2025-02-16 21:29:06,424.0,182.0,586.0,212.0,692.0,221.0,754.0,219.0,711.0,296.0,661.0,545.0,517.0,646.0,386.0,766.0,370.0,676.0,251.0,613.0
open,2025-02-16 21:29:06,229.0,479.0,161.0,354.0,164.0,276.0,136.0,203.0,120.0,117.0,128.0,150.0,123.0,247.0,95.0,417.0,179.0,566.0,140.0,694.0
open,2025-02-16 21:29:06,212.0,740.0,241.0,654.0,331.0,748.0,498.0,502.0,672.0,440.0,748.0,322.0,658.0,259.0,610.0,219.0,490.0,190.0,410.0,171.0
open,2025-02-16 21:29:07,267.0,141.0,149.0,135.0,144.0,144.0,133.0,128.0,250.0,139.0,487.0,191.0,565.0,176.0,746.0,247.0,750.0,255.0,698.0,283.0
open,2025-02-16 21:29:07,673.0,451.0,528.0,641.0,389.0,731.0,321.0,684.0,281.0,580.0,215.0,475.0,192.0,404.0,160.0,289.0,164.0,177.0,132.0,104.0
open,2025-02-16 21:29:07,128.0,118.0,120.0,254.0,128.0,428.0,118.0,540.0,224.0,691.0,226.0,736.0,271.0,721.0,317.0,669.0,492.0,601.0,680.0,427.0
open,2025-02-16 21:29:07,743.0,350.0,689.0,279.0,522.0,206.0,484.0,171.0,380.0,153.0,304.0,148.0,165.0,118.0,121.0,121.0,126.0,112.0,248.0,152.0
open,2025-02-16 21:29:07,377.0,182.0,637.0,222.0,695.0,227.0,751.0,254.0,697.0,334.0,627.0,519.0,519.0,651.0,402.0,752.0,320.0,668.0,272.0,612.0
open,2025-02-16 21:29:08,239.0,474.0,165.0,366.0,140.0,270.0,128.0,166.0,117.0,120.0,136.0,129.0,134.0,246.0,150.0,405.0,179.0,570.0,136.0,700.0
open,2025-02-16 21:29:08,175.0,741.0,254.0,694.0,343.0,731.0,512.0,521.0,665.0,438.0,739.0,304.0,682.0,243.0,553.0,201.0,411.0,173.0,339.0,140.0
open,2025-02-16 21:29:08,250.0,130.0,181.0,124.0,136.0,137.0,165.0,114.0,250.0,151.0,414.0,184.0,613.0,232.0,768.0,245.0,718.0,274.0,696.0,357.0
open,2025-02-16 21:29:08,658.0,459.0,492.0,700.0,374.0,736.0,324.0,689.0,245.0,575.0,214.0,468.0,156.0,367.0,150.0,256.0,149.0,179.0,134.0,105.0
open,2025-02-16 21:29:08,126.0,142.0,131.0,295.0,177.0,424.0,200.0,601.0,245.0,696.0,176.0,722.0,257.0,685.0,332.0,645.0,524.0,560.0,699.0,386.0
open,2025-02-16 21:29:09,739.0,307.0,645.0,242.0,545.0,208.0,459.0,149.0,353.0,151.0,263.0,124.0,170.0,119.0,114.0,99.0,135.0,134.0,277.0,133.0
open,2025-02-16 21:29:09,452.0,192.0,621.0,224.0,702.0,237.0,807.0,265.0,692.0,372.0,637.0,582.0,506.0,653.0,376.0,718.0,304.0,629.0,261.0,575.0
open,2025-02-16 21:29:09,216.0,472.0,179.0,385.0,157.0,272.0,140.0,171.0,132.0,116.0,113.0,161.0,139.0,285.0,179.0,446.0,156.0,585.0,236.0,714.0
open,2025-02-16 21:29:09,223.0,753.0,284.0,683.0,372.0,615.0,520.0,500.0,699.0,426.0,746.0,305.0,618.0,253.0,562.0,215.0,445.0,188.0,367.0,157.0
open,2025-02-16 21:29:09,211.0,156.0,173.0,143.0,126.0,134.0,165.0,84.0,275.0,141.0,433.0,160.0,593.0,214.0,723.0,230.0,737.0,277.0,809.0,346.0
open,2025-02-16 21:29:10,654.0,521.0,526.0,669.0,386.0,759.0,306.0,673.0,250.0,530.0,205.0,479.0,173.0,382.0,156.0,277.0,133.0,150.0,126.0,136.0
open,2025-02-16 21:29:10,119.0,156.0,116.0,291.0,169.0,407.0,167.0,613.0,232.0,705.0,245.0,753.0,250.0,709.0,283.0,646.0,554.0,506.0,698.0,384.0
open,2025-02-16 21:29:10,752.0,311.0,641.0,256.0,587.0,228.0,461.0,168.0,369.0,148.0,240.0,133.0,111.0,125.0,110.0,137.0,172.0,152.0,298.0,117.0
open,2025-02-16 21:29:10,430.0,201.0,603.0,207.0,724.0,226.0,742.0,255.0,695.0,373.0,695.0,509.0,483.0,699.0,380.0,768.0,312.0,611.0,260.0,567.0
open,2025-02-16 21:29:11,208.0,454.0,182.0,355.0,152.0,248.0,151.0,169.0,130.0,139.0,139.0,157.0,129.0,288.0,171.0,509.0,192.0,617.0,238.0,758.0
open,2025-02-16 21:29:11,239.0,749.0,268.0,694.0,418.0,624.0,503.0,477.0,689.0,384.0,732.0,293.0,657.0,241.0,538.0,200.0,422.0,197.0,345.0,184.0
open,2025-02-16 21:29:11,249.0,170.0,166.0,137.0,121.0,138.0,165.0,148.0,301.0,153.0,464.0,125.0,631.0,247.0,682.0,215.0,732.0,266.0,740.0,381.0
open,2025-02-16 21:29:11,595.0,571.0,486.0,684.0,366.0,754.0,317.0,629.0,254.0,409.0,195.0,430.0,178.0,334.0,167.0,258.0,153.0,147.0,136.0,137.0
open,2025-02-16 21:29:11,110.0,167.0,129.0,291.0,117.0,441.0,183.0,627.0,221.0,701.0,212.0,745.0,276.0,660.0,325.0,623.0,526.0,443.0,639.0,349.0
