gesture,timestamp,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19
closed,2025-02-16 21:21:01,185.0,727.0,224.0,672.0,258.0,432.0,247.0,272.0,494.0,158.0,572.0,70.0,593.0,106.0,389.0,175.0,205.0,195.0,75.0,200.0
closed,2025-02-16 21:21:01,91.0,146.0,126.0,180.0,168.0,113.0,179.0,106.0,200.0,152.0,331.0,201.0,702.0,242.0,665.0,206.0,673.0,217.0,623.0,188.0
closed,2025-02-16 21:21:01,402.0,244.0,267.0,495.0,130.0,581.0,79.0,613.0,98.0,354.0,172.0,211.0,179.0,66.0,185.0,80.0,188.0,136.0,170.0,154.0
closed,2025-02-16 21:21:03,122.0,173.0,141.0,208.0,156.0,323.0,151.0,611.0,237.0,677.0,240.0,702.0,224.0,643.0,166.0,433.0,206.0,534.0,121.0,352.0
closed,2025-02-16 21:21:04,286.0,279.0,497.0,137.0,597.0,52.0,591.0,108.0,347.0,127.0,132.0,171.0,76.0,170.0,87.0,196.0,137.0,172.0,167.0,150.0
closed,2025-02-16 21:21:04,234.0,166.0,236.0,149.0,343.0,198.0,676.0,221.0,660.0,208.0,710.0,187.0,588.0,154.0,394.0,263.0,272.0,500.0,172.0,608.0
closed,2025-02-16 21:21:04,71.0,584.0,84.0,378.0,163.0,183.0,179.0,66.0,201.0,80.0,180.0,118.0,117.0,205.0,158.0,187.0,166.0,202.0,154.0,323.0
closed,2025-02-16 21:21:04,204.0,685.0,195.0,652.0,186.0,653.0,164.0,600.0,193.0,413.0,283.0,322.0,436.0,161.0,599.0,80.0,580.0,77.0,421.0,107.0
closed,2025-02-16 21:21:04,200.0,186.0,65.0,172.0,80.0,179.0,127.0,181.0,267.0,154.0,178.0,178.0,231.0,150.0,261.0,159.0,596.0,174.0,668.0,233.0
closed,2025-02-16 21:21:05,659.0,222.0,547.0,198.0,510.0,258.0,327.0,416.0,226.0,566.0,71.0,644.0,65.0,531.0,127.0,187.0,175.0,76.0,149.0,79.0
closed,2025-02-16 21:21:05,197.0,102.0,154.0,128.0,151.0,174.0,138.0,159.0,122.0,274.0,158.0,534.0,240.0,613.0,234.0,659.0,241.0,667.0,207.0,445.0
closed,2025-02-16 21:21:06,194.0,320.0,320.0,164.0,167.0,187.0,107.0,220.0,159.0,292.0,161.0,575.0,209.0,631.0,220.0,693.0,202.0,605.0,196.0,404.0
closed,2025-02-16 21:21:07,232.0,258.0,379.0,153.0,527.0,77.0,553.0,80.0,455.0,174.0,229.0,176.0,63.0,196.0,72.0,203.0,79.0,72.0,77.0,89.0
closed,2025-02-16 21:21:07,133.0,110.0,165.0,118.0,142.0,147.0,125.0,146.0,683.0,276.0,670.0,227.0,757.0,244.0,584.0,238.0,383.0,363.0,309.0,559.0
closed,2025-02-16 21:21:07,105.0,662.0,73.0,650.0,88.0,376.0,158.0,188.0,210.0,62.0,221.0,77.0,185.0,128.0,181.0,162.0,200.0,195.0,154.0,223.0
closed,2025-02-16 21:21:07,119.0,312.0,156.0,666.0,223.0,645.0,191.0,675.0,216.0,609.0,180.0,383.0,261.0,296.0,480.0,137.0,567.0,72.0,581.0,75.0
closed,2025-02-16 21:21:07,394.0,86.0,163.0,85.0,74.0,97.0,70.0,100.0,96.0,89.0,101.0,92.0,119.0,96.0,109.0,85.0,141.0,106.0,203.0,136.0
closed,2025-02-16 21:21:08,382.0,264.0,688.0,230.0,717.0,224.0,609.0,212.0,434.0,247.0,284.0,514.0,178.0,631.0,65.0,617.0,93.0,392.0,172.0,211.0
closed,2025-02-16 21:21:09,157.0,75.0,240.0,189.0,106.0,189.0,68.0,188.0,109.0,136.0,155.0,175.0,177.0,129.0,188.0,159.0,278.0,156.0,506.0,188.0
closed,2025-02-16 21:21:09,366.0,127.0,405.0,141.0,368.0,111.0,257.0,135.0,182.0,207.0,178.0,322.0,87.0,378.0,68.0,300.0,66.0,270.0,134.0,239.0
closed,2025-02-16 21:21:10,170.0,76.0,198.0,100.0,182.0,125.0,60.0,160.0,140.0,245.0,204.0,226.0,193.0,515.0,217.0,737.0,178.0,745.0,201.0,694.0
closed,2025-02-16 21:21:10,222.0,547.0,233.0,383.0,334.0,320.0,569.0,124.0,556.0,73.0,576.0,139.0,263.0,173.0,95.0,284.0,70.0,195.0,92.0,196.0
closed,2025-02-16 21:21:10,118.0,141.0,153.0,176.0,184.0,139.0,216.0,97.0,301.0,117.0,370.0,124.0,385.0,125.0,381.0,120.0,330.0,97.0,230.0,207.0
closed,2025-02-16 21:21:10,162.0,286.0,105.0,341.0,87.0,293.0,64.0,227.0,137.0,196.0,155.0,92.0,214.0,70.0,215.0,106.0,183.0,159.0,176.0,159.0
closed,2025-02-16 21:21:12,153.0,663.0,166.0,376.0,131.0,324.0,108.0,258.0,149.0,188.0,286.0,123.0,351.0,82.0,642.0,105.0,423.0,132.0,174.0,186.0
closed,2025-02-16 21:21:12,69.0,215.0,85.0,164.0,117.0,181.0,173.0,170.0,166.0,98.0,228.0,182.0,314.0,166.0,634.0,234.0,634.0,200.0,658.0,236.0
closed,2025-02-16 21:21:12,619.0,192.0,410.0,257.0,311.0,436.0,147.0,558.0,76.0,636.0,74.0,436.0,99.0,230.0,195.0,62.0,158.0,63.0,145.0,84.0
closed,2025-02-16 21:21:13,134.0,135.0,109.0,107.0,113.0,145.0,119.0,188.0,83.0,284.0,101.0,553.0,230.0,673.0,214.0,648.0,189.0,483.0,160.0,292.0
closed,2025-02-16 21:21:13,325.0,296.0,609.0,119.0,616.0,65.0,521.0,94.0,314.0,204.0,147.0,206.0,61.0,165.0,90.0,169.0,161.0,182.0,127.0,74.0
closed,2025-02-16 21:21:13,191.0,203.0,214.0,108.0,433.0,207.0,689.0,209.0,652.0,213.0,646.0,229.0,547.0,206.0,371.0,292.0,241.0,493.0,161.0,643.0
closed,2025-02-16 21:21:13,80.0,340.0,80.0,198.0,71.0,93.0,99.0,63.0,192.0,86.0,205.0,139.0,157.0,175.0,144.0,188.0,141.0,238.0,150.0,372.0
closed,2025-02-16 21:21:15,206.0,693.0,227.0,717.0,210.0,728.0,231.0,629.0,190.0,417.0,298.0,81.0,463.0,158.0,251.0,178.0,101.0,193.0,61.0,96.0
closed,2025-02-16 21:21:15,83.0,79.0,98.0,92.0,130.0,95.0,119.0,90.0,131.0,163.0,426.0,210.0,708.0,245.0,715.0,214.0,718.0,231.0,609.0,184.0
closed,2025-02-16 21:21:15,382.0,329.0,342.0,556.0,121.0,673.0,74.0,592.0,125.0,336.0,168.0,154.0,179.0,49.0,141.0,83.0,198.0,159.0,207.0,176.0
closed,2025-02-16 21:21:16,201.0,211.0,155.0,277.0,145.0,426.0,247.0,674.0,229.0,705.0,238.0,683.0,206.0,597.0,207.0,333.0,271.0,203.0,562.0,95.0
closed,2025-02-16 21:21:16,594.0,73.0,598.0,74.0,345.0,168.0,165.0,215.0,70.0,159.0,89.0,220.0,139.0,180.0,182.0,124.0,173.0,173.0,225.0,141.0
closed,2025-02-16 21:21:16,376.0,186.0,705.0,252.0,709.0,219.0,742.0,263.0,625.0,211.0,430.0,359.0,321.0,551.0,146.0,663.0,113.0,632.0,112.0,306.0
closed,2025-02-16 21:21:16,153.0,194.0,172.0,108.0,197.0,112.0,129.0,106.0,171.0,140.0,144.0,210.0,135.0,196.0,152.0,458.0,224.0,589.0,214.0,747.0
closed,2025-02-16 21:21:18,252.0,695.0,224.0,552.0,189.0,373.0,337.0,272.0,337.0,85.0,368.0,67.0,313.0,94.0,111.0,107.0,95.0,66.0,150.0,219.0
closed,2025-02-16 21:21:18,163.0,330.0,199.0,715.0,238.0,717.0,245.0,734.0,234.0,644.0,165.0,444.0,275.0,335.0,471.0,146.0,602.0,75.0,619.0,102.0
closed,2025-02-16 21:21:18,388.0,176.0,189.0,190.0,69.0,178.0,78.0,167.0,134.0,159.0,186.0,156.0,214.0,129.0,196.0,161.0,423.0,208.0,684.0,221.0
closed,2025-02-16 21:21:18,724.0,237.0,776.0,223.0,653.0,221.0,401.0,282.0,328.0,510.0,181.0,601.0,106.0,643.0,65.0,373.0,109.0,181.0,162.0,88.0
closed,2025-02-16 21:21:18,187.0,86.0,210.0,130.0,181.0,193.0,119.0,210.0,147.0,271.0,186.0,342.0,224.0,692.0,208.0,665.0,177.0,691.0,196.0,605.0
closed,2025-02-16 21:21:19,218.0,387.0,304.0,299.0,509.0,129.0,619.0,55.0,596.0,78.0,263.0,63.0,135.0,112.0,72.0,91.0,76.0,106.0,111.0,159.0
closed,2025-02-16 21:21:19,171.0,172.0,175.0,150.0,219.0,167.0,342.0,183.0,667.0,254.0,697.0,237.0,763.0,197.0,664.0,209.0,459.0,261.0,339.0,477.0
closed,2025-02-16 21:21:21,168.0,601.0,91.0,657.0,45.0,489.0,123.0,149.0,151.0,164.0,218.0,138.0,231.0,146.0,396.0,211.0,649.0,239.0,709.0,208.0
closed,2025-02-16 21:21:21,714.0,194.0,597.0,196.0,402.0,296.0,298.0,514.0,121.0,597.0,73.0,362.0,65.0,228.0,104.0,142.0,71.0,95.0,82.0,64.0
closed,2025-02-16 21:21:21,99.0,76.0,106.0,118.0,220.0,257.0,104.0,188.0,164.0,316.0,221.0,602.0,210.0,632.0,257.0,727.0,184.0,657.0,190.0,562.0
closed,2025-02-16 21:21:21,334.0,316.0,441.0,212.0,589.0,88.0,593.0,97.0,536.0,157.0,237.0,148.0,92.0,193.0,106.0,195.0,109.0,112.0,144.0,142.0
closed,2025-02-16 21:21:21,181.0,150.0,200.0,167.0,290.0,174.0,633.0,234.0,733.0,219.0,734.0,212.0,695.0,208.0,450.0,214.0,338.0,411.0,230.0,562.0
closed,2025-02-16 21:21:21,97.0,599.0,73.0,505.0,150.0,233.0,194.0,85.0,215.0,78.0,147.0,98.0,190.0,149.0,142.0,179.0,152.0,215.0,137.0,263.0
closed,2025-02-16 21:21:22,164.0,602.0,222.0,682.0,229.0,672.0,214.0,618.0,204.0,438.0,217.0,319.0,296.0,226.0,556.0,97.0,608.0,92.0,521.0,145.0
closed,2025-02-16 21:21:22,205.0,173.0,79.0,206.0,86.0,154.0,103.0,144.0,144.0,178.0,168.0,150.0,181.0,163.0,295.0,176.0,523.0,224.0,675.0,217.0
open,2025-02-16 21:21:27,677.0,225.0,624.0,211.0,488.0,174.0,328.0,353.0,280.0,569.0,82.0,660.0,75.0,576.0,143.0,183.0,81.0,184.0,108.0,141.0
open,2025-02-16 21:21:27,161.0,125.0,188.0,130.0,198.0,155.0,301.0,196.0,539.0,197.0,627.0,133.0,642.0,144.0,621.0,133.0,429.0,184.0,271.0,402.0
open,2025-02-16 21:21:27,157.0,518.0,80.0,590.0,71.0,448.0,124.0,218.0,204.0,71.0,153.0,76.0,186.0,124.0,137.0,174.0,161.0,193.0,169.0,183.0
open,2025-02-16 21:21:27,117.0,248.0,125.0,488.0,189.0,592.0,187.0,653.0,183.0,581.0,177.0,470.0,175.0,269.0,326.0,213.0,540.0,75.0,566.0,80.0
open,2025-02-16 21:21:27,471.0,148.0,167.0,174.0,66.0,186.0,78.0,188.0,111.0,182.0,167.0,157.0,173.0,125.0,212.0,120.0,253.0,124.0,484.0,221.0
open,2025-02-16 21:21:29,649.0,236.0,688.0,206.0,687.0,200.0,517.0,185.0,338.0,311.0,244.0,539.0,82.0,192.0,171.0,70.0,189.0,87.0,175.0,136.0
open,2025-02-16 21:21:29,155.0,148.0,144.0,207.0,143.0,205.0,157.0,327.0,204.0,688.0,220.0,672.0,213.0,695.0,207.0,591.0,135.0,365.0,211.0,266.0
open,2025-02-16 21:21:29,480.0,85.0,577.0,71.0,593.0,97.0,509.0,134.0,227.0,72.0,71.0,97.0,59.0,171.0,101.0,190.0,140.0,156.0,167.0,189.0
open,2025-02-16 21:21:29,179.0,135.0,275.0,171.0,570.0,173.0,653.0,225.0,697.0,190.0,596.0,198.0,411.0,227.0,284.0,353.0,202.0,553.0,72.0,586.0
open,2025-02-16 21:21:29,73.0,485.0,142.0,222.0,194.0,105.0,202.0,80.0,166.0,101.0,163.0,146.0,144.0,184.0,185.0,181.0,138.0,277.0,195.0,628.0
open,2025-02-16 21:21:31,232.0,678.0,228.0,723.0,274.0,651.0,504.0,133.0,590.0,64.0,594.0,78.0,406.0,169.0,160.0,183.0,77.0,202.0,99.0,117.0
open,2025-02-16 21:21:31,111.0,164.0,159.0,190.0,178.0,164.0,214.0,98.0,317.0,154.0,640.0,174.0,623.0,197.0,682.0,169.0,589.0,172.0,391.0,194.0
open,2025-02-16 21:21:32,234.0,384.0,188.0,570.0,77.0,616.0,76.0,499.0,191.0,124.0,190.0,73.0,162.0,82.0,177.0,111.0,140.0,150.0,146.0,177.0
open,2025-02-16 21:21:32,129.0,198.0,139.0,287.0,160.0,604.0,239.0,664.0,205.0,646.0,178.0,597.0,185.0,411.0,152.0,256.0,353.0,191.0,543.0,73.0
open,2025-02-16 21:21:32,559.0,53.0,437.0,180.0,188.0,139.0,80.0,181.0,84.0,168.0,113.0,168.0,142.0,135.0,191.0,129.0,222.0,132.0,277.0,133.0
open,2025-02-16 21:21:32,547.0,193.0,610.0,184.0,624.0,194.0,571.0,177.0,399.0,177.0,280.0,308.0,199.0,516.0,86.0,544.0,59.0,448.0,81.0,263.0
open,2025-02-16 21:21:34,143.0,132.0,158.0,197.0,159.0,253.0,88.0,359.0,204.0,641.0,201.0,689.0,228.0,656.0,140.0,587.0,145.0,370.0,256.0,229.0
open,2025-02-16 21:21:34,501.0,125.0,585.0,75.0,597.0,107.0,292.0,165.0,60.0,203.0,76.0,186.0,99.0,113.0,135.0,157.0,174.0,162.0,157.0,89.0
open,2025-02-16 21:21:34,212.0,126.0,257.0,122.0,670.0,219.0,621.0,187.0,656.0,208.0,543.0,162.0,343.0,250.0,282.0,438.0,140.0,553.0,63.0,586.0
open,2025-02-16 21:21:34,96.0,407.0,138.0,179.0,221.0,59.0,194.0,78.0,199.0,156.0,140.0,151.0,155.0,189.0,151.0,197.0,58.0,299.0,162.0,593.0
open,2025-02-16 21:21:34,160.0,621.0,221.0,644.0,198.0,571.0,146.0,437.0,254.0,256.0,388.0,196.0,543.0,81.0,614.0,87.0,451.0,152.0,195.0,181.0
open,2025-02-16 21:21:36,82.0,173.0,87.0,162.0,108.0,185.0,153.0,162.0,183.0,330.0,175.0,164.0,183.0,68.0,193.0,90.0,193.0,126.0,158.0,172.0
open,2025-02-16 21:21:37,105.0,188.0,164.0,204.0,145.0,326.0,188.0,643.0,232.0,661.0,176.0,624.0,181.0,556.0,150.0,330.0,252.0,256.0,452.0,137.0
open,2025-02-16 21:21:37,560.0,102.0,544.0,122.0,355.0,176.0,125.0,117.0,78.0,137.0,80.0,172.0,150.0,134.0,159.0,157.0,183.0,132.0,220.0,155.0
open,2025-02-16 21:21:37,342.0,182.0,622.0,226.0,647.0,222.0,615.0,152.0,572.0,147.0,341.0,264.0,214.0,511.0,124.0,569.0,71.0,551.0,41.0,367.0
open,2025-02-16 21:21:37,158.0,139.0,167.0,64.0,183.0,89.0,170.0,115.0,141.0,167.0,148.0,165.0,116.0,223.0,151.0,239.0,159.0,623.0,216.0,621.0
open,2025-02-16 21:21:38,177.0,658.0,206.0,543.0,180.0,375.0,202.0,253.0,429.0,169.0,541.0,69.0,569.0,128.0,444.0,124.0,181.0,175.0,672.0,199.0
open,2025-02-16 21:21:38,599.0,157.0,407.0,242.0,295.0,469.0,154.0,607.0,73.0,591.0,108.0,332.0,161.0,88.0,201.0,78.0,129.0,92.0,194.0,113.0
open,2025-02-16 21:21:39,152.0,143.0,124.0,189.0,179.0,252.0,163.0,296.0,130.0,636.0,282.0,603.0,196.0,652.0,180.0,635.0,185.0,387.0,192.0,309.0
open,2025-02-16 21:21:39,335.0,130.0,527.0,77.0,572.0,93.0,359.0,206.0,103.0,181.0,64.0,145.0,88.0,219.0,130.0,175.0,164.0,166.0,158.0,70.0
open,2025-02-16 21:21:39,239.0,94.0,230.0,131.0,469.0,211.0,733.0,193.0,629.0,197.0,628.0,199.0,503.0,220.0,286.0,253.0,247.0,522.0,93.0,616.0
open,2025-02-16 21:21:39,92.0,523.0,154.0,236.0,171.0,85.0,198.0,70.0,181.0,93.0,175.0,121.0,190.0,143.0,148.0,195.0,144.0,193.0,131.0,360.0
open,2025-02-16 21:21:41,208.0,676.0,200.0,673.0,211.0,689.0,227.0,564.0,164.0,359.0,275.0,241.0,453.0,112.0,87.0,195.0,125.0,124.0,147.0,160.0
open,2025-02-16 21:21:41,176.0,165.0,228.0,171.0,382.0,203.0,659.0,214.0,656.0,247.0,651.0,163.0,583.0,171.0,285.0,235.0,260.0,456.0,160.0,572.0
open,2025-02-16 21:21:41,68.0,582.0,118.0,397.0,154.0,124.0,129.0,75.0,235.0,102.0,219.0,113.0,155.0,152.0,152.0,183.0,142.0,283.0,145.0,290.0
open,2025-02-16 21:21:41,172.0,631.0,225.0,622.0,209.0,631.0,187.0,578.0,190.0,353.0,300.0,323.0,463.0,186.0,576.0,64.0,590.0,63.0,437.0,137.0
open,2025-02-16 21:21:41,204.0,203.0,66.0,194.0,77.0,212.0,106.0,174.0,152.0,156.0,225.0,129.0,217.0,107.0,302.0,161.0,587.0,160.0,632.0,177.0
open,2025-02-16 21:21:42,632.0,175.0,567.0,197.0,423.0,204.0,302.0,368.0,239.0,558.0,76.0,619.0,84.0,536.0,123.0,226.0,161.0,132.0,172.0,85.0
open,2025-02-16 21:21:43,144.0,92.0,167.0,175.0,166.0,163.0,154.0,213.0,161.0,242.0,129.0,464.0,201.0,139.0,187.0,130.0,182.0,153.0,315.0,147.0
open,2025-02-16 21:21:43,615.0,194.0,627.0,206.0,718.0,159.0,630.0,171.0,419.0,190.0,286.0,321.0,273.0,599.0,84.0,557.0,84.0,496.0,119.0,254.0
open,2025-02-16 21:21:44,152.0,72.0,137.0,73.0,224.0,101.0,204.0,139.0,138.0,178.0,117.0,195.0,202.0,293.0,147.0,467.0,247.0,638.0,227.0,629.0
open,2025-02-16 21:21:44,156.0,616.0,195.0,473.0,242.0,289.0,294.0,232.0,547.0,101.0,596.0,58.0,498.0,132.0,229.0,175.0,86.0,189.0,79.0,184.0
open,2025-02-16 21:21:44,92.0,182.0,133.0,161.0,159.0,149.0,203.0,141.0,223.0,144.0,389.0,200.0,653.0,184.0,655.0,209.0,611.0,159.0,503.0,158.0
open,2025-02-16 21:21:44,322.0,280.0,240.0,509.0,124.0,586.0,71.0,562.0,89.0,292.0,159.0,161.0,180.0,71.0,194.0,89.0,174.0,112.0,158.0,176.0
open,2025-02-16 21:21:46,148.0,190.0,140.0,218.0,116.0,331.0,198.0,639.0,222.0,677.0,199.0,668.0,204.0,195.0,90.0,170.0,74.0,174.0,97.0,130.0
open,2025-02-16 21:21:46,134.0,125.0,163.0,140.0,199.0,178.0,222.0,149.0,481.0,179.0,668.0,218.0,697.0,189.0,639.0,179.0,474.0,160.0,302.0,333.0
open,2025-02-16 21:21:46,250.0,530.0,96.0,592.0,87.0,473.0,99.0,290.0,142.0,151.0,182.0,73.0,172.0,97.0,158.0,123.0,126.0,205.0,159.0,188.0
open,2025-02-16 21:21:46,108.0,230.0,134.0,368.0,223.0,631.0,211.0,626.0,192.0,645.0,180.0,538.0,158.0,331.0,245.0,251.0,487.0,112.0,558.0,65.0
open,2025-02-16 21:21:47,572.0,130.0,298.0,188.0,129.0,160.0,83.0,185.0,89.0,155.0,137.0,138.0,166.0,163.0,196.0,135.0,267.0,138.0,322.0,258.0
open,2025-02-16 21:21:47,654.0,208.0,646.0,197.0,650.0,202.0,558.0,181.0,338.0,283.0,265.0,472.0,124.0,567.0,50.0,586.0,98.0,356.0,128.0,143.0
open,2025-02-16 21:21:48,161.0,70.0,170.0,84.0,186.0,110.0,166.0,156.0,146.0,212.0,524.0,124.0,288.0,166.0,110.0,170.0,70.0,194.0,109.0,208.0
open,2025-02-16 21:21:49,142.0,143.0,199.0,156.0,231.0,157.0,212.0,133.0,461.0,198.0,670.0,211.0,623.0,198.0,595.0,184.0,486.0,179.0,289.0,258.0
open,2025-02-16 21:21:49,236.0,503.0,88.0,500.0,88.0,560.0,162.0,295.0,194.0,116.0,146.0,79.0,184.0,97.0,136.0,130.0,184.0,170.0,144.0,211.0
open,2025-02-16 21:21:49,174.0,243.0,157.0,343.0,219.0,655.0,214.0,605.0,220.0,620.0,190.0,523.0,130.0,328.0,268.0,225.0,438.0,129.0,564.0,62.0
open,2025-02-16 21:21:49,538.0,101.0,342.0,144.0,144.0,185.0,68.0,167.0,96.0,181.0,126.0,154.0,165.0,161.0,206.0,123.0,200.0,140.0,331.0,187.0
